date,value
7/12/2019,0.4684
7/28/2019,0.3346
8/13/2019,0.4158
8/29/2019,0.3871
9/14/2019,0.347
9/30/2019,0.386
10/16/2019,0.3569
11/1/2019,0.3793
11/17/2019,0.3578
12/3/2019,0.3684
12/19/2019,0.2334
1/1/2020,0.2956
1/17/2020,0.3121
2/2/2020,0.2668
