"date","value"
17-11-2015,0.387
12-03-2015,0.3648
19-12-2015,0.4537
01-01-2016,0.2918
17-01-2016,0.051
02-02-2016,0.3363
18-02-2016,0.003
03-05-2016,0.3679
21-03-2016,0.3595
04-06-2016,0.4621
22-04-2016,0.4575
05-08-2016,0.504
24-05-2016,0.508
06-09-2016,0.4882
25-06-2016,0.5252
07-11-2016,0.4848
27-07-2016,0.4677
08-12-2016,0.4604
28-08-2016,0.4439
13-09-2016,0.4517
29-09-2016,0.4651
15-10-2016,0.5009
31-10-2016,0.4333
16-11-2016,0.3075
12-02-2016,0.3329
18-12-2016,0.381
01-01-2017,0.0887
17-01-2017,0.1898
02-02-2017,0.3488
18-02-2017,0.2797
03-06-2017,0.2579
22-03-2017,0.3595
04-07-2017,0.3658
23-04-2017,0.4533
05-09-2017,0.5388
25-05-2017,0.532
06-10-2017,0.44
26-06-2017,0.4031
07-12-2017,0.4901
28-07-2017,0.5096
13-08-2017,0.4752
29-08-2017,0.5006
14-09-2017,0.372
30-09-2017,0.4425
16-10-2017,0.4747
11-01-2017,0.4718
17-11-2017,0.3894
12-03-2017,0.4236
19-12-2017,0.4355
01-01-2018,0.3773
17-01-2018,0.3909
02-02-2018,0.2692
18-02-2018,0.164
03-06-2018,0.3773
22-03-2018,0.3247
04-07-2018,0.4033
23-04-2018,0.4568
05-09-2018,0.5255
25-05-2018,0.5125
06-10-2018,0.5068
26-06-2018,0.4829
07-12-2018,0.4582
28-07-2018,0.4799
13-08-2018,0.3788
29-08-2018,0.4493
14-09-2018,0.4559
30-09-2018,0.254
16-10-2018,0.4529
11-01-2018,0.1795
17-11-2018,0.0944
12-03-2018,0.4276
19-12-2018,0.2183
01-01-2019,0.3436
17-01-2019,0.3506
02-02-2019,0.3093
18-02-2019,0.299
03-06-2019,0.2862
22-03-2019,0.276
04-07-2019,0.3333
23-04-2019,0.3448
05-09-2019,0.4411
25-05-2019,0.5001
06-10-2019,0.4171
26-06-2019,0.452
07-12-2019,0.4684
28-07-2019,0.3346
13-08-2019,0.4158
29-08-2019,0.3871
14-09-2019,0.347
30-09-2019,0.386
16-10-2019,0.3569
11-01-2019,0.3793
17-11-2019,0.3578
12-03-2019,0.3684
19-12-2019,0.2334
01-01-2020,0.2956
17-01-2020,0.3121
02-02-2020,0.2668
